"STATION","NAME","DATE","SNOW","TSUN"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2011-08","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2011-09","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2011-10","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2011-11","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2011-12","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01","43",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02","8",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-03","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-04","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-05","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-06","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-07","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-08","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-09","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-10","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-11","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-12","5",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2013-01","23",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2013-02","10",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2013-03","41",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2013-04","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2013-05","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2013-06","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2013-07","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2013-08","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2013-09","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2013-10","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2013-11","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2013-12","38",
